0013| 2021/09/29 06:58:34,329| 89.06nm AlGaAs 92%

0014| 2021/09/29 07:03:54,945| 76.47nm GaAs

0015| 2021/09/29 07:08:30,238| 89.06nm AlGaAs 92%

0016| 2021/09/29 07:13:50,854| 76.47nm GaAs

0017| 2021/09/29 07:18:26,145| 89.06nm AlGaAs 92%

0018| 2021/09/29 07:23:46,761| 270 nm GaAs

0019| 2021/09/29 07:39:58,761| Descente

0020| 2021/09/29 07:59:58,761| wait

    | 2021/09/29 09:06:43,423| --------------> Stopped

